               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.6397,              4.1861,              1.9598,             0.66616,             0.47368,             0.49383,              0.3258,                   0,                   0,                   0,               0.091,               0.001,               0.001
                   1,              1.2333,               2.607,              1.7118,             0.78298,             0.89474,             0.90192,             0.76421,                   0,                   0,                   0,            0.081017,           0.0020168,           0.0020168
                   2,              1.2138,              1.6578,              1.6851,             0.93995,             0.94737,             0.92095,             0.82844,                   0,                   0,                   0,            0.070947,           0.0029466,           0.0029466
                   3,             0.93562,              1.2983,              1.5059,             0.77146,             0.89474,             0.87138,             0.78594,                   0,                   0,                   0,            0.060789,           0.0037892,           0.0037892
                   4,             0.99549,              1.0513,              1.4384,              0.8908,             0.94737,             0.91686,             0.80903,                   0,                   0,                   0,            0.050545,           0.0045446,           0.0045446
                   5,              1.0386,              1.8494,              1.4971,              0.9471,             0.94248,             0.91789,             0.80814,                   0,                   0,                   0,            0.040213,            0.005213,            0.005213
                   6,              1.0121,             0.92557,              1.4382,             0.89943,              0.9417,              0.8605,              0.7567,                   0,                   0,                   0,            0.029794,           0.0057942,           0.0057942
                   7,              0.9929,              1.2911,              1.4999,             0.93612,             0.94737,             0.92328,             0.79322,                   0,                   0,                   0,            0.019288,           0.0062884,           0.0062884
                   8,              0.9221,              1.1337,              1.4283,             0.89685,             0.94737,             0.86126,             0.76233,                   0,                   0,                   0,           0.0086954,           0.0066954,           0.0066954
                   9,             0.99856,              1.4028,              1.5154,               0.896,             0.94737,             0.92877,             0.82688,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                  10,             0.90881,              1.3635,               1.457,             0.89142,             0.94737,              0.9343,             0.83167,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                  11,             0.91728,              1.3249,              1.4138,             0.89653,             0.94737,             0.91941,             0.81672,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  12,             0.94761,              1.1205,              1.4763,              0.9373,             0.89474,             0.92599,             0.81624,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  13,             0.90338,             0.86722,              1.4291,             0.94692,             0.93929,             0.90993,             0.80158,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  14,             0.91502,             0.88243,              1.3943,             0.94699,             0.94048,             0.89894,             0.77632,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                  15,             0.84792,             0.89428,               1.357,             0.92993,             0.94737,             0.93769,             0.83636,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
                  16,             0.83414,             0.76575,                1.38,             0.94454,             0.94737,             0.92678,             0.80571,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  17,             0.85297,             0.73036,              1.3612,             0.94476,             0.94737,             0.93562,             0.85539,                   0,                   0,                   0,            0.003664,            0.003664,            0.003664
                  18,             0.86753,             0.65432,              1.3175,             0.94442,             0.94737,             0.94164,             0.82009,                   0,                   0,                   0,            0.003268,            0.003268,            0.003268
                  19,             0.78831,             0.55616,              1.3551,             0.94716,             0.94362,             0.93421,             0.78325,                   0,                   0,                   0,            0.002872,            0.002872,            0.002872
                  20,             0.94326,               0.687,              1.4015,             0.94487,             0.94737,             0.91637,             0.77894,                   0,                   0,                   0,            0.002476,            0.002476,            0.002476
                  21,             0.84893,             0.67802,              1.2859,             0.94454,             0.94737,             0.91693,             0.77726,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  22,             0.79195,             0.53594,              1.2827,             0.94414,             0.94737,             0.91416,             0.79414,                   0,                   0,                   0,            0.001684,            0.001684,            0.001684
                  23,             0.82505,               0.569,              1.2865,             0.94429,             0.94737,             0.92304,             0.80331,                   0,                   0,                   0,            0.001288,            0.001288,            0.001288
                  24,             0.75221,             0.57195,              1.2908,             0.94459,             0.94737,             0.92418,             0.81271,                   0,                   0,                   0,            0.000892,            0.000892,            0.000892
